Version,2.1.7,,,,,,,,,,,,,,,,
Release Date,12/12/2010,,,,,,,,,,,,,,,,
Row Labels,Count of File,Count of REF,Count of BUG,Count of Dev#,Count of LoC+,Max of LoC+,Average of LoC+,Count of LoC-,Max of LoC-,Average of LoC-,Max of FCount,Average of FCount,Average of Date,Codechurn,Max Codechurn,Ave Codechurn,Age
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/NamedXAResourceFactory.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/RecoverableTransactionManager.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/RecoverTask.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/Recovery.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/RecoveryImpl.java,3,3,3,3,3,42,28,3,4,2.666666667,89,32.66666667,08/25/10,6,46,15.33333333,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/RetryScheduler.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/TransactionBranchInfoImpl.java,3,3,3,3,3,0,0,3,0,0,89,32.66666667,08/25/10,6,0,0,15.57142857
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/TransactionImpl.java,7,7,7,7,7,47,14.57142857,7,64,30,89,14.57142857,08/22/10,14,111,22.28571429,16
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/TransactionLog.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/TransactionManagerImpl.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
 components/txmanager/branches/geronimo-txmanager-parent-2.1/geronimo-transaction/src/main/java/org/apache/geronimo/transaction/manager/TransactionTimer.java,1,1,1,1,1,0,0,1,0,0,89,89,09/24/10,2,0,0,11.28571429
