Developer,Date,Dev#,Msg,File,Action,LoC+,LoC-,REF,BUG,FCount,FJavaCount,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-transformer/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-upgrade/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-util/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-web-builder/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-webservices-builder/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/modules/geronimo-webservices/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsuite/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsuite/console-testsuite/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsuite/console-testsuite/basic/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsuite/deployment-testsuite/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsuite/deployment-testsuite/test-deployments/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsupport/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsupport/test-deployment-j2ee_1.3/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsupport/test-deployment-j2ee_1.3/test-ear-j2ee_1.3/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsupport/test-deployment-j2ee_1.3/test-ejb-j2ee_1.3/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsupport/test-deployment-j2ee_1.3/test-rar-j2ee_1.3/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsupport/test-deployment-j2ee_1.3/test-war-j2ee_1.3/pom.xml, M,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsupport/test-deployment-j2ee_1.4/pom.xml, A,0,0,FALSE,FALSE,172,0,,
dain, 2006-12-14 07:10,487175, Hand tag since maven won't, 1.2.0-beta/testsupport/test-deployment-j2ee_1.4/test-ear-j2ee_1.4/pom.xml, A,0,0,FALSE,FALSE,172,0,,
